"countries;population;area"
"Trinidad and Tobago;1,399,488;5,13"
"Taiwan;23,816,775;35,41"
"Papua New Guinea;8,947,024;452,86"
"Slovakia;5,459,642;48,088"
"Mauritania;4,649,658;1,030,700"
"San Marino;33,931;60"
"Djibouti;988;23,18"
"Norway;5,421,241;365,268"
"Kiribati;119,449;810"
"Ghana;31,072,940;227,54"
"Kyrgyzstan;6,524,195;191,8"
"Luxembourg;625,978;2,59"
"Réunion;895,312;2,5"
"Bahrain;1,701,575;760"
"Gibraltar;33,691;10"
"British Virgin Islands;30,231;150"
"Jamaica;2,961,167;10,83"
"Afghanistan;38,928,346;652,86"
"Saint Pierre & Miquelon;5,794;230"
"Hungary;9,660,351;90,53"
"Lithuania;2,722,289;62,674"
"Canada;37,742,154;9,093,510"
"Azerbaijan;10,139,177;82,658"
"Honduras;9,904,607;111,89"
"Denmark;5,792,202;42,43"
"Austria;9,006,398;82,409"
"United States;331,002,651;9,147,420"
"Uzbekistan;33,469,203;425,4"
"Paraguay;7,132,538;397,3"
"Finland;5,540,720;303,89"
"Morocco;36,910,560;446,3"
"Tokelau;1,357;10"
"Kenya;53,771,296;569,14"
"Nicaragua;6,624,554;120,34"
"Colombia;50,882,891;1,109,500"
"Martinique;375,265;1,06"
"Channel Islands;173,863;190"
"Curaçao;164,093;444"
"Faeroe Islands;48,863;1,396"
"Mexico;128,932,753;1,943,950"
"Hong Kong;7,496,981;1,05"
"Montserrat;4,992;100"
"Tunisia;11,818,619;155,36"
"Syria;17,500,658;183,63"
"Seychelles;98,347;460"
"Libya;6,871,292;1,759,540"
"Mozambique;31,255,435;786,38"
"Tajikistan;9,537,645;139,96"
"Saint Lucia;183,627;610"
